Transaktionsdatum,Transaktionsuppgifter,Belopp i SEK
2026-02-03,Fabriken By Pontus Frit Nacka,159.00
2026-02-04,Claude.Ai Subscription San Francisco,242.71
2026-02-05,Fabriken By Pontus Frit Nacka,143.10
2026-02-05,Destination Gotland Visby,4178.00
2026-02-06,Krubb Hagersten,170.00
2026-02-06,Ica Nara Telefonplan 95 Hagersten,98.80
2026-02-09,Norwegian Air Shuttle Fornebu,7680.00
2026-02-10,Hemkop Solna C 1020072 Solna,-129.90
2026-02-10,Hemkop Solna C 1020072 Solna,107.85
2026-02-10,Apoteket Ab Solna,2306.20
2026-02-10,Ica Kvantum Solna 95756 Solna,44.95
2026-02-11,Pita Baren Solna,373.00
2026-02-12,Easypark Stockholm,18.70
2026-02-12,Ica Kvantum Taby C 9570 Taby,674.81
2026-02-12,Ica Kvantum Ludvika 957 Ludvika,2537.15
2026-02-13,Easypark Stockholm,7.20
2026-02-15,Apple.Com/Bill Hollyhill,119.00
2026-02-20,Easypark Stockholm,9.62
2026-02-21,Uniqlo Europe Ltd Swedi Stockholm,998.00
2026-02-21,Ica Kvantum Mall Of Sca Solna,970.22
2026-02-24,Sl App Stockholm,170.00
2026-02-26,Loomis - Pay*chili Masa Solna,410.00
2026-02-26,Sl App Stockholm,1060.00
2026-02-27,Easypark Stockholm,7.45
2026-03-02,Periodens Del Av Arsavgift For Kontot,135.00
2026-02-02,Ahlens Ab Stockholm,383.60
2026-02-02,Hemkop Solna Mall Of 40 Solna,417.65
2026-02-02,Akademibokhande Solna,199.00
2026-02-04,Akademibokhande Solna,119.00
2026-02-04,Netflix.Com 020790637,199.00
2026-02-05,Sl Stockholm,86.00
2026-02-05,Coop Odenplan Stockholm,27.95
2026-02-05,Hemkop Solna Ulriksd 05 Solna,113.90
2026-02-06,Maxi Ica Stormarknad So Solna,1702.16
2026-02-08,Sl Stockholm,86.00
2026-02-09,Maxi Ica Stormarknad So Solna,-30.00
2026-02-11,Polarn O. Pyret Ab Stockholm,895.80
2026-02-11,Lagerhaus Stockholm Mal Stockholm,166.00
2026-02-11,Ica Kvantum Mall Of Sca Solna,288.76
2026-02-12,Mcdenkoping 4855219 Enkoping,324.00
2026-02-12,Sl Stockholm,129.00
2026-02-13,Partykungen.Se Gavle,288.86
2026-02-16,Asos.Com Amsterdam,6246.15
2026-02-17,Maxi Ica Stormarknad So Solna,734.46
2026-02-17,Brasseriet La Vie Sundbyberg,149.00
2026-02-17,Spotifyse Stockholm,189.00
2026-02-18,Sl Stockholm,86.00
2026-02-19,Lulu - Mall Of Scandina Solna,154.00
2026-02-19,Starbucks Avd 6 Solna,57.00
2026-02-19,Sl Stockholm,86.00
2026-02-20,Sl Stockholm,86.00
2026-02-20,Brasserie Astoria 114 Stockholm,2600.00
2026-02-21,Clas Ohlson 218 Solna,149.90
2026-02-23,Sp Switch Nails Uppsala,448.20
2026-02-23,Maxi Ica Stormarknad So Solna,2767.46
2026-02-25,Bacchanale Stockholm,2150.00
2026-02-26,Apotek Hjartat Hornstul Stockholm,79.00
2026-02-26,Hemkop Solna Frosund 41 Solna,265.20
2026-02-26,Hbomax Stockholm,74.50
2026-02-27,Systembolaget 0244 Stockholm,451.60
2026-02-27,Ica Kvantum Mall Of Sca Solna,264.60
2026-02-27,Amazonmktplc*vq7yv0in5 Www.Amazon.Se,379.08
2026-02-28,4050154 Pressbyran Solna,36.00
2026-03-01,Ica Kvantum Mall Of Sca Solna,259.65
,,
,SUMMA,45600.34
,Fakturans saldo (kontroll),45600.34
,Differens,0.00
